day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-09-26,0.3270734903032042,1.0,-0.8357021824997886,1.0,1.0
2025-09-29,0.31819235410339775,0.29517191591424474,-0.08209928416736549,0.8002469446341492,3.0
2025-09-30,0.018206195180114636,0.6637320570253538,0.27252872439631576,0.7524986011832222,5.0
2025-10-01,0.4855334810130538,1.0,-0.4152031343841474,1.0,1.0
2025-10-02,0.8427757562847117,0.4443435293132107,-0.5124441978100491,0.07431961260494796,6.0
2025-10-03,-0.1731024172892795,0.5372469339015387,0.189291655709412,0.9218150903680897,2.0
2025-10-05,0.4868541944481338,1.0,-0.5656731340728538,1.0,1.0
2025-10-09,0.07185951616355796,1.0,-0.41269781947634937,1.0,1.0
2025-10-13,1.1855106198419003,1.3465820323640276,-0.3872983346207417,0.5477225575051662,2.0
2025-10-16,0.556025786635995,1.1343712245061326,0.5724609711222259,1.0,2.0
2025-10-17,0.5190878208820523,0.8471272727392547,-0.24834778185672077,0.4652797796406766,2.0
2025-10-19,0.7140544567054319,0.9624193847774644,-0.49330332047843095,0.043519982564497635,2.0
2025-10-21,0.7867372459252401,0.946971367027772,0.3290324668051679,0.7952694517646741,3.0
2025-10-22,0.5914662661549054,0.5401893561225783,-0.5214316699799164,0.09163913959850126,2.0
2025-10-23,-0.5309731697629848,1.0,-0.5698762091766308,1.0,1.0
2025-10-24,-0.8586260348508872,1.0,-0.5698762091766308,1.0,1.0
2025-10-25,-1.0817945227077927,0.45680676849200275,-0.4873658645285981,0.08727255016358952,3.0
2025-10-26,-0.19986177604431024,0.2636084060757931,0.233259809787907,1.4751995347453792,4.0
2025-10-27,0.17537405552945678,1.3912418484514022,-0.3073449895992485,0.5972452815632835,18.0
2025-10-28,-0.46866231274189707,0.9776993633988523,-0.11649241777058403,0.7402407704828018,58.0
2025-10-29,-0.20955661065215694,1.1108926109654464,-0.13304848239122533,0.7762103508457009,33.0
2025-10-30,-0.2822209893211195,0.7696920575409879,-0.29093796014118356,0.8269293464005972,23.0
2025-10-31,-0.13780349157577387,0.9017154371216946,-0.010353431119594598,0.8793385259114396,22.0
2025-11-01,0.7370017712161652,0.4284554568141936,1.2809843714945635,1.4766657730167205,7.0
2025-11-02,0.1899946694965747,0.6346810456101483,0.822416680258361,0.9425680336229828,8.0
2025-11-03,0.5142312498128169,1.2131631506261382,-0.6219129769146676,0.13358934829055383,8.0
2025-11-04,0.08934641207717728,1.095728080126765,0.018548287046747842,1.2676443903712002,14.0
2025-11-05,-0.1382509789482133,0.373177202890287,-0.5141349167163282,0.07418957868835285,12.0
2025-11-06,-0.15566822296508803,0.7221363655559782,0.847624786524019,1.4102323864018065,9.0
2025-11-07,0.1256402048503909,0.7354344340707927,-0.5755956518801647,0.13855938209783644,13.0
2025-11-08,0.0750801720400505,0.44125459400264716,1.7365422328079307,1.643687967664865,10.0
2025-11-09,-0.07377333336995849,0.8767356266563359,0.25980514141310435,0.975307649976311,32.0
2025-11-10,0.3727049614640272,1.1248648678805027,0.08550420725188061,1.0024474236142715,17.0
2025-11-11,-0.3689733905911752,0.8253839588877403,-0.5115155390850832,0.05104330488996132,6.0
2025-11-12,-0.10513874402825912,0.5131893709182126,1.0335000665105623,1.36628694212962,3.0
2025-11-13,-1.9435375999867204,1.0,-0.4625300456899543,1.0,1.0
2025-11-14,1.6936153335811197,1.0,-0.22756234905705253,1.0,1.0
2025-11-15,0.42775795121089294,0.463519739778064,-0.21203829763345378,0.44128879249304276,2.0
2025-11-17,0.08033938672142003,1.0,-0.5400617248673216,1.0,1.0
2025-11-18,1.119202126320071,1.1639414695126016,-0.43097877148608305,0.02732420498232116,3.0
2025-11-20,0.09068812985109807,1.0,-0.45663301294771547,1.0,1.0
2025-11-22,0.7668597433059515,0.4520806233384901,-0.6275322139004785,0.190294390788612,3.0
2025-11-23,-0.4048154153598305,1.2610112553463488,-0.5759517305424855,0.014536130529513476,2.0
2025-11-26,-0.2924985355120413,1.0,-0.5862303270121173,1.0,1.0
2025-11-28,1.1968107132593242,0.8764351429643524,-0.09025640830218382,0.6777753369742607,5.0
2025-11-30,-0.7143772496001328,1.1612519353173727,0.077527561696898,1.1599658237107393,3.0
2025-12-01,-1.398340640932798,1.0,0.5242463817981659,1.0,1.0
2025-12-02,1.2168587569195026,1.1500826147458167,-0.4873658645285981,0.08727255016358952,3.0
2025-12-03,-0.2085254060196284,1.0,3.3425949303451055,1.0,1.0
2025-12-05,-0.3407270987877584,1.0,2.7162952528902298,1.0,1.0
2025-12-06,-0.3516421255333678,1.0,1.1029046021867372,1.0,1.0
2025-12-08,0.4868541944481338,1.0,-0.5656731340728538,1.0,1.0
2025-12-10,2.0902497509402345,1.0,0.7024055601479404,1.0,1.0
2025-12-11,0.02759468844160433,1.0,-0.4625300456899543,1.0,1.0
2025-12-12,0.12827942613046345,1.0,1.7091560665868295,1.0,1.0
2025-12-13,0.025595239045788743,1.0,,1.0,1.0
2025-12-15,0.26075149777897355,1.0,,1.0,1.0
2025-12-28,-0.13538132948740256,1.0,-0.7745966692414834,1.0,1.0
2026-01-05,1.1072911556765273,1.0,-0.5698762091766308,1.0,1.0
2026-01-17,-0.808836315718671,1.0,-0.5773502691896257,1.0,1.0
2026-01-22,0.9025175219516602,1.0,-0.6211640273377456,1.0,1.0
2026-01-23,0.9025175219516602,1.0,-0.6211640273377456,1.0,1.0
2026-01-25,0.5773502691896256,1.0,,1.0,1.0
